line,syllable,label
1,ad,
1,sum,long
1,pro,short
1,fun,long
1,do,
1,tar,long
1,ta,short
1,ri,elision
1,e,long
1,mis,
1,sus,long
1,spe,short
1,cu,
2,in,
2,cer,long
2,tus,short
2,u,long
2,tras,
2,o,long
2,de,short
2,rim,long
2,se,
2,des,long
2,ma,short
2,gis,
3,fu,short
3,gi,short
3,o,long
3,thy,short
3,es,long
3,tes,
3,in,long
3,fe,short
3,ros,long
3,su,short
3,pe,short
3,ros,long
3,fu,short
3,go,
4,en,
4,hor,long
4,ret,short
4,a,short
4,ni,short
4,mus,
4,et,long
4,pa,short
4,vor,long
4,mem,
4,bra,elision
4,ex,long
4,cu,short
4,tit,
5,vi,short
5,de,short
5,o,long
5,pa,short
5,ter,long
5,nos,
5,im,long
5,mo,short
5,fra,long
5,ter,
5,nos,long
5,la,short
5,res,
6,hoc,
6,est,long
6,ve,short
6,tus,long
6,tum,
6,pe,short
6,lo,short
6,pi,short
6,ae,long
6,li,
6,men,long
6,do,short
6,mus,
7,hinc,
7,aus,long
7,pi,short
7,ca,long
7,ri,
7,re,long
7,gi,short
7,um,long
7,ca,short
7,pi,short
7,ti,long
7,de,short
7,cus,
8,mos,
8,est,long
8,pe,short
8,las,long
8,gis,
8,hoc,long
8,se,short
8,dent,long
8,al,
8,ti,long
8,to,short
8,ro,
9,qvi,
9,bus,long
9,su,short
9,per,long
9,ba,
9,scep,long
9,tra,short
9,ges,long
9,tan,
9,tur,long
9,ma,short
9,nu,
10,li,
10,bet,long
10,re,short
10,ver,long
10,ti,
10,non,long
10,ne,short
10,vel,long
10,tris,
10,tes,long
10,la,short
10,cus,
11,in,
11,co,short
11,le,short
11,re,short
11,sa,short
11,ti,short
11,us,
11,non,long
11,ne,short
11,cus,long
11,to,
11,dem,long
11,sty,short
11,gis,
12,tri,
12,ge,short
12,mi,short
12,na,short
12,ni,long
12,gris,
12,col,long
12,la,short
12,jac,long
12,tan,
12,tem,long
12,ju,short
12,bis,
13,u,
13,bi,elision
13,il,long
13,le,short
13,ce,short
13,le,short
13,ri,
13,cor,long
13,pus,short
13,e,long
13,vin,
13,ctus,long
13,ro,short
13,tae,long
14,re,short
14,deun,short
14,te,long
14,to,short
14,ti,short
14,ens,
14,lu,long
14,di,short
14,tur,long
14,sa,
14,xo,long
14,la,short
14,bor,
15,u,short
15,bi,short
15,ton,long
15,det,short
15,a,long
15,les,
15,a,short
15,vi,short
15,da,short
15,fe,long
15,cun,
15,dum,long
15,je,short
15,cur,
16,et,
16,in,long
16,ter,short
16,un,long
16,das,
16,fer,long
16,vi,short
16,da,elision
16,ex,long
16,us,
16,tus,long
16,si,short
16,ti,
17,aq,
17,vas,long
17,fu,short
17,ga,long
17,ces,
17,o,long
17,re,short
17,de,long
17,cep,
17,to,elision
17,ap,long
17,pe,short
17,tit,
18,poe,long
18,nas,long
18,da,short
18,tu,long
18,rus,
18,cae,long
18,li,short
18,tum,long
18,da,short
18,pi,short
18,bus,long
18,gra,short
18,ves,
19,sed,
19,il,long
19,le,short
19,nos,long
19,trae,long
19,pars,long
19,qvo,short
19,ta,elision
19,est,long
19,cul,
19,pae,long
19,se,short
19,nex,
20,re,short
20,pu,short
20,te,long
20,mus,short
20,om,long
20,nes,
20,qvos,long
20,ob,short
20,in,long
20,fan,
20,das,long
20,ma,short
20,nus,
21,qvae,long
21,si,long
21,tor,short
21,ur,long
21,na,
21,gno,long
21,si,short
21,us,long
21,ver,
21,sat,long
21,re,short
21,os,
22,vin,
22,cam,long
22,thy,short
22,es,long
22,tes,
22,sce,short
22,le,short
22,ri,short
22,bus,long
22,cun,
22,ctos,long
22,meis,short
23,a,
23,fra,long
23,tre,short
23,vin,long
23,car,
23,li,long
23,be,short
23,ris,long
23,ple,
23,nus,long
23,tri,short
23,bus,
24,in,
24,me,long
24,se,short
24,pul,long
24,tis,
24,vis,long
24,ce,short
24,ra,elision
24,ex,long
24,e,
24,di,long
24,me,short
24,a,
25,nec,
25,hac,long
25,te,short
25,nus,long
25,for,
25,tu,long
25,na,short
25,ma,short
25,cu,short
25,la,
25,vit,long
25,pa,short
25,trem,
26,gna,
26,tae,long
26,ne,short
26,fan,long
26,dos,
26,pe,short
26,te,short
26,re,short
26,con,long
26,cu,short
